,pos_key_pos,companyid_pb,pb_idx,method,score,src_file,rank,company_raw_pos,company_linkedin_url_pos,company_cleaned_pos,location_raw_pos,region_pos,country_pos,state_pos,metro_area_pos,weight_pos,rcid_pos,company_name_pos,ultimate_parent_rcid_pos,ultimate_parent_company_name_pos,onet_code_pos,onet_title_pos,ticker_pos,exchange_pos,cusip_pos,naics_code_pos,naics_description_pos,company_pos,linkedin_headquarters_pos,gvkey_pos,country_std_pos,state_std_pos,_first_name_raw_pos,company_norm_pos,linkedin_norm_pos,website_domain_pos,hqcountry_pb,hqstate_province_pb,country_std_pb,state_std_pb,companyname_pb,companyalsoknownas_pb,companylegalname_pb,companyformername_pb,file
430,individual_position_0126_part_01_with_company.parquet::14120,92713-33,84089.0,fuzzy,71.73913043478262,individual_position_0126_part_01_with_company.parquet,3,The University of Texas Health Science Center at Tyler (UT Health Northeast),linkedin.com/school/uthsct,the university of texas health science center at tyler ut health northeast,"Manor, Texas, United States

            Contact Info",Northern America,United States,Texas,austin metropolitan area,1.1670235,9104841.0,The University of Texas Health Science Center At Tyler,9104841.0,The University of Texas Health Science Center At Tyler,43-4051.00,Customer Service Representatives,,,,621111,Offices of Physicians (except Mental Health Specialists),The University of Texas Health Science Center At Tyler,,,United States,TX,the university of texas health science center at tyler ut health northeast,the university of texas health science center at tyler ut health northeast,http://linkedin.com/company/uthsct,uthct.edu,United States,Texas,United States,TX,The University of Texas at San Antonio,,,,individual_position_0126_part_01_with_company.parquet
431,individual_position_0126_part_01_with_company.parquet::14122,465406-57,,linkedin,100.0,individual_position_0126_part_01_with_company.parquet,1,Kitl,linkedin.com/company/kitl-co,kitl,"Sydney, Australia",Pacific Islands,Australia,New South Wales,sydney metropolitan area,1.0590266,4504548.0,Kitl (4504548),4504548.0,Kitl (4504548),11-3121.00,Human Resources Managers,,,,,,Kitl (4504548),"Sydney, NSW",,Australia,,kitl,kitl,http://linkedin.com/company/kitl-co,kitl.co,Australia,New South Wales,Australia,,Kitl,,Kitl Pty Ltd,,individual_position_0126_part_01_with_company.parquet
432,individual_position_0126_part_01_with_company.parquet::14124,54757-00,,linkedin,100.0,individual_position_0126_part_01_with_company.parquet,1,PolicyBazaar.com,linkedin.com/company/policybazaar,policybazaar com,"Gurgaon, Haryana, India",Southern Asia,India,Haryana,delhi metropolitan area,1.4556136,20961371.0,Policybazaar Insurance Brokers Pvt Ltd.,22267403.0,PB Fintech Ltd.,13-2011.00,Accountants and Auditors,,,,524210,Insurance Agencies and Brokerages,Policybazaar Insurance Brokers Pvt Ltd.,"Gurgaon, Haryana",,India,,policybazaar com,policybazaar com,http://linkedin.com/company/policybazaar,policybazaar.com,India,Haryana,India,,PolicyBazaar,PB Fintech,Policybazaar Insurance Brokers Private Limited,"Policybazaar Insurance Web Aggregator, ETechAces Marketing & Consulting",individual_position_0126_part_01_with_company.parquet
433,individual_position_0126_part_01_with_company.parquet::14128,42070-78,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,"OSIRIS THERAPEUTICS, INC",linkedin.com/company/osiris-therapeutics,osiris therapeutics inc,"Baltimore, Maryland, United States",Northern America,United States,Maryland,baltimore metropolitan area,1.0479841,869052.0,"Osiris Therapeutics, Inc.",1254077.0,Smith & Nephew plc,19-4031.00,Chemical Technicians,,,68827R108,325414,Biological Product (except Diagnostic) Manufacturing,"Osiris Therapeutics, Inc.",,174648,United States,MD,osiris therapeutics inc,osiris therapeutics,http://linkedin.com/company/osiris-therapeutics,osiris.com,United States,Maryland,United States,MD,Osiris Therapeutics,Osiris,"Osiris Therapeutics, Inc.",,individual_position_0126_part_01_with_company.parquet
434,individual_position_0126_part_01_with_company.parquet::14153,58888-36,,linkedin,100.0,individual_position_0126_part_01_with_company.parquet,1,Nova Measuring Instruments,linkedin.com/company/nova-ltd.,nova measuring instruments,United States,Northern America,United States,empty,empty,1.0292742,381467.0,Nova Ltd.,381467.0,Nova Ltd.,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,NVMI,NASDAQ,M7516K103,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,Nova Ltd.,Rehovot,133905,United States,,nova measuring instruments,nova measuring instruments,http://linkedin.com/company/nova-ltd.,novami.com,Israel,,Israel,,Nova (Israel),,Nova Ltd.,Nova Measuring Instruments Ltd.,individual_position_0126_part_01_with_company.parquet
435,individual_position_0126_part_01_with_company.parquet::14157,10010-89,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,Hilton Hotels Worldwide,,hilton hotels worldwide,United States,Northern America,United States,empty,empty,1.0372876,1643474.0,Hilton Hotels Worldwide,1643474.0,Hilton Hotels Worldwide,15-1211.00,Computer Systems Analysts,,,,,,Hilton Hotels Worldwide,,,United States,,hilton hotels worldwide,hilton hotels worldwide,http://linkedin.com/company/hotels-worldwide-travel,,United States,California,United States,CA,Broadcom (Acquired 2016),,Broadcom Corp.,,individual_position_0126_part_01_with_company.parquet
436,individual_position_0126_part_01_with_company.parquet::1417,10810-63,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,Pahal : Gender Champion Cell Daulat Ram College,linkedin.com/company/pahal-gender-champion-cell,pahal gender champion cell daulat ram college,"New Delhi, Delhi, India",Southern Asia,India,Delhi,delhi metropolitan area,1.0549618,5428770.0,Pahal Gender Champion Cell Daulat Ram College,5428770.0,Pahal Gender Champion Cell Daulat Ram College,13-1121.00,"Meeting, Convention, and Event Planners",,,,,,Pahal Gender Champion Cell Daulat Ram College,New Delhi,,India,,pahal gender champion cell daulat ram college,pahal gender champion cell daulat ram college,http://linkedin.com/company/pahal-gender-champion-cell,,India,Andhra Pradesh,India,,Nipuna Services,Nipuna,Nipuna Services Limited,,individual_position_0126_part_01_with_company.parquet
437,individual_position_0126_part_01_with_company.parquet::14174,10343-35,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,Retired,linkedin.com/company/saunatec-inc,retired,"Columbus, Georgia Area",Northern America,United States,Georgia,georgia nonmetropolitan area (united states),1.2343589,92974779.0,Saunatec,92974779.0,Saunatec,,,,,,,,Saunatec,,,United States,GA,retired,retired,http://linkedin.com/company/saunatec-inc,,United States,Georgia,United States,GA,CheckFree,,CheckFree Corp,,individual_position_0126_part_01_with_company.parquet
438,individual_position_0126_part_01_with_company.parquet::14200,57194-74,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,NTT Com Security,,ntt com security,"Paris, France",Western Europe,France,Ile-de-France,paris metropolitan area,1.0452156,5284086.0,Ntt Com Security,5284086.0,Ntt Com Security,13-1199.07,Security Management Specialists,,,,,,Ntt Com Security,,,France,,ntt com security,ntt com security,http://linkedin.com/company/ntt-security,,France,Cedex 1,France,,Synt:em,Synt em SA,Synt:em S.A.,,individual_position_0126_part_01_with_company.parquet
439,individual_position_0126_part_01_with_company.parquet::14211,10672-48,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,Agencia Madrileña de Atención Social,,agencia madrileña de atención social,"Aranjuez, Comunidad de Madrid, España",Southern Europe,Spain,Madrid,madrid metropolitan area,1.3210093,1865320.0,Agencia Madrileña De Empleo,1865320.0,Agencia Madrileña De Empleo,43-6011.00,Executive Secretaries and Executive Administrative Assistants,,,,,,Agencia Madrileña De Empleo,,,Spain,,agencia madrileña de atención social,agencia madrilena de atencion social,http://linkedin.com/company/agencia-madrileña-de-empleo-sl,,Spain,,Spain,,Enigma Software Productions,Enigma Software,"Enigma Software Productions, S.L.",,individual_position_0126_part_01_with_company.parquet
440,individual_position_0126_part_01_with_company.parquet::14214,56722-24,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,POCANTICO HILLS CTL SCH DIST,linkedin.com/company/pocantico-hills-ctl-sch-dist,pocantico hills ctl sch dist,"Mahopac, New York, United States",Northern America,United States,New York,new york city metropolitan area,1.0356044,5588593.0,Pocantico Hills Ctl Sch Dist,5588593.0,Pocantico Hills Ctl Sch Dist,29-1122.00,Occupational Therapists,,,,,,Pocantico Hills Ctl Sch Dist,"Tarrytown, New York",,United States,NY,pocantico hills ctl sch dist,pocantico hills ctl sch dist,http://linkedin.com/company/pocantico-hills-ctl-sch-dist,,United States,New York,United States,NY,Iptivia,,"Iptivia, Inc.",,individual_position_0126_part_01_with_company.parquet
441,individual_position_0126_part_01_with_company.parquet::14224,10672-48,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,EOLEXCITYLAB,linkedin.com/company/eolexcitylab,eolexcitylab,España,Southern Europe,Spain,empty,spain nonmetropolitan area,1.6443826,11891287.0,Eolexcitylab,11891287.0,Eolexcitylab,27-3043.05,"Poets, Lyricists and Creative Writers",,,,,,Eolexcitylab,,,Spain,,eolexcitylab,eolexcitylab,http://linkedin.com/company/eolexcitylab,,Spain,,Spain,,Enigma Software Productions,Enigma Software,"Enigma Software Productions, S.L.",,individual_position_0126_part_01_with_company.parquet
442,individual_position_0126_part_01_with_company.parquet::14236,499991-05,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,Vivalá,linkedin.com/company/somosvivala,vivalá,Brasil,Southern America,Brazil,empty,brazil nonmetropolitan area,1.3284705,7050264.0,Vivalá,7050264.0,Vivalá,27-3023.00,"News Analysts, Reporters, and Journalists",,,,,,Vivalá,"São Paulo, São Paulo",,Brazil,,vivalá,vivala,http://linkedin.com/company/somosvivala,vivala.com.br,Brazil,,Brazil,,Vivala,,Vivalá Turismo e Serviços Ltda,,individual_position_0126_part_01_with_company.parquet
443,individual_position_0126_part_01_with_company.parquet::14243,399679-39,,linkedin,100.0,individual_position_0126_part_01_with_company.parquet,1,Qtime AS,linkedin.com/company/qtime-as,qtime as,"Oslo Area, Norway",Northern Europe,Norway,Oslo,oslo metropolitan area,1.1403488,382452.0,Qtime AS,382452.0,Qtime AS,27-1011.00,Art Directors,,,,513210,Software Publishers,Qtime AS,,,Norway,,qtime as,qtime,http://linkedin.com/company/qtime-as,qtime.no,Norway,,Norway,,QTime,,Qtime AS,,individual_position_0126_part_01_with_company.parquet
444,individual_position_0126_part_01_with_company.parquet::14246,57852-37,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,PMA,,pma,"Rotterdam Area, Netherlands",Western Europe,Netherlands,South Holland,rotterdam metropolitan area,1.4645473,8141533.0,Jefe Del Departamento De Ginecólogia Obstetricia Y Salud Reproductiva De La Clínica De Marly,8141533.0,Jefe Del Departamento De Ginecólogia Obstetricia Y Salud Reproductiva De La Clínica De Marly,43-4061.00,"Eligibility Interviewers, Government Programs",,,,,,Jefe Del Departamento De Ginecólogia Obstetricia Y Salud Reproductiva De La Clínica De Marly,,,Netherlands,,pma,pma,http://linkedin.com/company/-pma,,Netherlands,,Netherlands,,Data Distilleries,,Data Distilleries B.V.,,individual_position_0126_part_01_with_company.parquet
445,individual_position_0126_part_01_with_company.parquet::14247,14766-40,,linkedin,100.0,individual_position_0126_part_01_with_company.parquet,1,DECITRE,linkedin.com/company/decitre,decitre,"Région de Lyon, France",Western Europe,France,Auvergne-Rhone-Alpes,lyon metropolitan area,1.4491298,316603.0,Decitre SASU,22187046.0,FDN Finance SA,43-3021.00,Billing and Posting Clerks,,,,519210,Libraries and Archives,Decitre SASU,Lyon,,France,,decitre,decitre,http://linkedin.com/company/decitre,decitrepro.fr,France,,France,,Decitre,,Decitre Interactive SAS,,individual_position_0126_part_01_with_company.parquet
446,individual_position_0126_part_01_with_company.parquet::14249,10173-43,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,The Corpus Christi Army Depot,,the corpus christi army depot,"Corpus Christi, TX",Northern America,United States,Texas,corpus christi metropolitan area,1.2147068,6636351.0,The Corpus Christi Army Depot,6636351.0,The Corpus Christi Army Depot,53-2022.00,Airfield Operations Specialists,,,,,,The Corpus Christi Army Depot,"Corpus Christi, TX",,United States,TX,the corpus christi army depot,the corpus christi army depot,http://linkedin.com/company/the-corpus-christi-army-depot,,United States,Texas,United States,TX,EXE Technologies,EXE,"EXE Technologies, Inc.","Neptune Systems, Dallas Systems Corporation",individual_position_0126_part_01_with_company.parquet
447,individual_position_0126_part_01_with_company.parquet::14261,338544-91,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,#WeAreEnough,linkedin.com/company/weareenough,weareenough,Indonesia,South-Eastern Asia,Indonesia,empty,indonesia nonmetropolitan area,1.2909738,7107132.0,Weareenough,7107132.0,Weareenough,11-2032.00,Public Relations Managers,,,,,,Weareenough,"Jakarta, DKI Jakarta",,Indonesia,,weareenough,weareenough,http://linkedin.com/company/weareenough,,Indonesia,,Indonesia,,Gw id,,,,individual_position_0126_part_01_with_company.parquet
448,individual_position_0126_part_01_with_company.parquet::14291,56740-42,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,Kursuscentret Campus Vejle,linkedin.com/company/ibckurser,kursuscentret campus vejle,"Middle Jutland, Denmark",Northern Europe,Denmark,empty,denmark nonmetropolitan area,1.2445346,4124534.0,Kursuscentret Campus Vejle,4124534.0,Kursuscentret Campus Vejle,43-6012.00,Legal Secretaries and Administrative Assistants,,,,,,Kursuscentret Campus Vejle,,,Denmark,,kursuscentret campus vejle,kursuscentret campus vejle,http://linkedin.com/company/ibckurser,,Denmark,,Denmark,,Sense,,Sense A/S,,individual_position_0126_part_01_with_company.parquet
449,individual_position_0126_part_01_with_company.parquet::14309,338544-91,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,CHINATOWN,linkedin.com/company/chinatownmty,chinatown,"Bali Province, Indonesia",South-Eastern Asia,Indonesia,Bali,indonesia nonmetropolitan area,1.1897871,10408439.0,CHINATOWN,10408439.0,CHINATOWN,53-2022.00,Airfield Operations Specialists,,,,,,CHINATOWN,"San Pedro Garza García, Nuevo León",,Indonesia,,chinatown,chinatown,http://linkedin.com/company/chinatownmty,,Indonesia,,Indonesia,,Gw id,,,,individual_position_0126_part_01_with_company.parquet
450,individual_position_0126_part_01_with_company.parquet::14322,97364-89,,linkedin,100.0,individual_position_0126_part_01_with_company.parquet,1,Ziqitza Health Care Limited,linkedin.com/company/ziqitza-healthcare-ltd.,ziqitza health care limited,"Odisha, India",Southern Asia,India,Odisha,india nonmetropolitan area,1.4520018,22799512.0,Ziqitza Healthcare Ltd.,22799512.0,Ziqitza Healthcare Ltd.,47-4099.03,Weatherization Installers and Technicians,,,,,,Ziqitza Healthcare Ltd.,"Mumbai, Maharashtra",,India,,ziqitza health care limited,ziqitza health care,http://linkedin.com/company/ziqitza-healthcare-ltd.,zhl.org.in,India,Maharashtra,India,,Ziqitza,,Ziqitza HealthCare Limited,,individual_position_0126_part_01_with_company.parquet
451,individual_position_0126_part_01_with_company.parquet::14347,108715-69,,linkedin,100.0,individual_position_0126_part_01_with_company.parquet,1,GO-JEK,linkedin.com/company/gojek,go jek,"Greater Jakarta Area, Indonesia",South-Eastern Asia,Indonesia,Jakarta,jakarta metropolitan area,1.497059,3800915.0,Gojek Tech,3800915.0,Gojek Tech,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",,,,,,Gojek Tech,"Jakarta, DKI Jakarta",,Indonesia,,go jek,go jek,http://linkedin.com/company/gojek,gojek.io,Indonesia,,Indonesia,,Gojek Indonesia,,PT Gojek Indonesia,PT Aplikasi Karya Anak Bangsa,individual_position_0126_part_01_with_company.parquet
452,individual_position_0126_part_01_with_company.parquet::1436,10810-63,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,rycc,,rycc,"Midnapore Sadar, West Bengal, India",Southern Asia,India,West Bengal,india nonmetropolitan area,1.2673336,21877392.0,Rycc,21877392.0,Rycc,19-2011.00,Astronomers,,,,,,Rycc,"Poissy, Îledefrance",,India,,rycc,rycc,http://linkedin.com/company/rycc,,India,Andhra Pradesh,India,,Nipuna Services,Nipuna,Nipuna Services Limited,,individual_position_0126_part_01_with_company.parquet
453,individual_position_0126_part_01_with_company.parquet::14368,57218-41,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,LE OFFICINE RIUNITE - UDINE S.P.A. O BREVEMENTE LE O.R.U. S.P.A.,,le officine riunite udine s p a o brevemente le o r u s p a,Italy,Southern Europe,Italy,empty,italy nonmetropolitan area,1.1182836,4627780.0,Le Officine Riunite Udine S P A O Brevemente Le O R U,4627780.0,Le Officine Riunite Udine S P A O Brevemente Le O R U,17-3013.00,Mechanical Drafters,,,,,,Le Officine Riunite Udine S P A O Brevemente Le O R U,"CAMPOFORMIDO, Ud",,Italy,,le officine riunite udine s p a o brevemente le o r u s p a,le officine riunite udine s p a o brevemente le o r u s p a,http://linkedin.com/company/le-officine-riunite---udine-s.p.a.-o-brevemente-le-o.r.u.-s.p.a.,,Italy,Milan,Italy,,Samares,,Samares SpA,,individual_position_0126_part_01_with_company.parquet
454,individual_position_0126_part_01_with_company.parquet::14369,10248-40,,linkedin,100.0,individual_position_0126_part_01_with_company.parquet,1,Medical Services Company,,medical services company,"Jacksonville, Florida, United States",Northern America,United States,Florida,jacksonville metropolitan area,1.141078,1075430.0,"One Call Care Management, Inc.",22229263.0,One Call Corp.,29-2061.00,Licensed Practical and Licensed Vocational Nurses,,,681967105,621512,Diagnostic Imaging Centers,"One Call Care Management, Inc.","Jacksonville, FL",,United States,FL,medical services company,medical services,http://linkedin.com/company/one-callcm,onecallcm.com,United States,Florida,United States,FL,One Call Care Management,One Call,"One Call Care Management, Inc.","One Call Medical, Align Networks",individual_position_0126_part_01_with_company.parquet
455,individual_position_0126_part_01_with_company.parquet::14375,56831-50,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,Capitol Broadcasting Inc. / FOX 50 - WRAZ,,capitol broadcasting inc fox 50 wraz,"Raleigh, NC",Northern America,United States,North Carolina,raleigh metropolitan area,1.0919423,2581560.0,Capitol Broadcasting Inc Fox 50 Wraz,2581560.0,Capitol Broadcasting Inc Fox 50 Wraz,13-2011.00,Accountants and Auditors,,,,,,Capitol Broadcasting Inc Fox 50 Wraz,,,United States,NC,capitol broadcasting inc fox 50 wraz,capitol broadcasting fox 50 wraz,http://linkedin.com/company/capitol-broadcasting-inc.-fox-50---wraz,,United States,North Carolina,United States,NC,InteCardia,,"InteCardia, Inc.",Cardiovascular Outcomes Management,individual_position_0126_part_01_with_company.parquet
456,individual_position_0126_part_01_with_company.parquet::14384,98703-28,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,meera enterprises inc.,,meera enterprises inc,Philippines,South-Eastern Asia,Philippines,empty,philippines nonmetropolitan area,1.4088118,4924866.0,Meera Enterprises (4924866),4924866.0,Meera Enterprises (4924866),41-1011.00,First-Line Supervisors of Retail Sales Workers,,,,,,Meera Enterprises (4924866),"Columbia, Tennessee",,Philippines,,meera enterprises inc,meera enterprises,http://linkedin.com/company/meera-enterprises-inc,,Philippines,Metro Manila,Philippines,,PGRS,,"Power Generation Revolutionary Solutions, Inc",,individual_position_0126_part_01_with_company.parquet
457,individual_position_0126_part_01_with_company.parquet::14385,56999-98,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,Johns Lyng Commercial Builders,linkedin.com/company/johns-lyng-commercial-builders,johns lyng commercial builders,"Hawthorn, Victoria, Australia",Pacific Islands,Australia,Victoria,melbourne metropolitan area,1.0341578,4398544.0,Johns Lyng Commercial Builders (4398544),4398544.0,Johns Lyng Commercial Builders (4398544),13-1082.00,Project Management Specialists,,,,,,Johns Lyng Commercial Builders (4398544),,,Australia,,johns lyng commercial builders,johns lyng commercial builders,http://linkedin.com/company/johns-lyng-commercial-builders,,Australia,,Australia,,Filoukes,,,,individual_position_0126_part_01_with_company.parquet
458,individual_position_0126_part_01_with_company.parquet::14392,57592-81,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,Orbis Logistics,,orbis logistics,Greater Chicago Area,Northern America,United States,Illinois,chicago metropolitan area,1.0939469,93067722.0,Orbis Logistics,93067722.0,Orbis Logistics,11-1021.00,General and Operations Managers,,,,,,Orbis Logistics,"Birmingham, Alabama",,United States,IL,orbis logistics,orbis logistics,http://linkedin.com/company/orbis-logistics,,United States,Illinois,United States,IL,Social Infrastructure Partners West Florida,,"Social Infrastructure Partners West Florida, LLC",,individual_position_0126_part_01_with_company.parquet
459,individual_position_0126_part_01_with_company.parquet::14401,10672-48,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,Jefatura Provincial de Tráfico,,jefatura provincial de tráfico,Murcia Metropolitan,Southern Europe,Spain,Murcia,spain nonmetropolitan area,1.319303,4371432.0,Jefatura Provincial De Tráfico,4371432.0,Jefatura Provincial De Tráfico,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",,,,,,Jefatura Provincial De Tráfico,,,Spain,,jefatura provincial de tráfico,jefatura provincial de trafico,http://linkedin.com/company/jefatura-provincial-de-tráfico,,Spain,,Spain,,Enigma Software Productions,Enigma Software,"Enigma Software Productions, S.L.",,individual_position_0126_part_01_with_company.parquet
460,individual_position_0126_part_01_with_company.parquet::14403,222915-79,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,Delphi Technologies,linkedin.com/company/delphitechnologies,delphi technologies,"Izmir, Turkey",Central and Western Asia,Turkey,Izmir,izmir metropolitan area,1.57845,565289.0,Phinia Delphi (UK) Ltd.,400257.0,"BorgWarner, Inc.",17-2199.09,Nanosystems Engineers,,,G2709G107,336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,Phinia Delphi (UK) Ltd.,"London, United Kingdom",31802,United Kingdom,,delphi technologies,delphi technologies,http://linkedin.com/company/delphitechnologies,delphi.com,United Kingdom,England,United Kingdom,,Delphi Technologies,Delphi,Delphi Powertrain Systems Operations Luxembourg S. à r.l.,,individual_position_0126_part_01_with_company.parquet
461,individual_position_0126_part_01_with_company.parquet::14409,98703-28,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,jobsglobal,,jobsglobal,Philippines,South-Eastern Asia,Philippines,empty,philippines nonmetropolitan area,1.8961121,2059259.0,Arabian Centers Employment Services,2059259.0,Arabian Centers Employment Services,,,,,,,,Arabian Centers Employment Services,,,Philippines,,jobsglobal,jobsglobal,http://linkedin.com/company/arabian-centers-employment-services,,Philippines,Metro Manila,Philippines,,PGRS,,"Power Generation Revolutionary Solutions, Inc",,individual_position_0126_part_01_with_company.parquet
462,individual_position_0126_part_01_with_company.parquet::1441,434229-31,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,DGCYE (educación de la prov. Bs As),linkedin.com/company/dgcye-educaci-n-de-la-prov.-bs-as-,dgcye educación de la prov bs as,Lomas de zamora,Southern America,Argentina,Buenos Aires,buenos aires metropolitan area,1.6085145,1658760.0,Rocio Perez Arte Fotográfico,1658760.0,Rocio Perez Arte Fotográfico,25-2032.00,"Career/Technical Education Teachers, Secondary School",,,,,,Rocio Perez Arte Fotográfico,La Plata,,Argentina,,dgcye educación de la prov bs as,dgcye educacion de la prov bs,http://linkedin.com/company/dgcye-educaci-n-de-la-prov.-bs-as-,,Argentina,,Argentina,,Fecundis,,,,individual_position_0126_part_01_with_company.parquet
463,individual_position_0126_part_01_with_company.parquet::14416,57194-74,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,APAJH ALPES MARITIMES,linkedin.com/company/apajh-alpes-maritimes,apajh alpes maritimes,"Nice, Provence-Alpes-Côte d'Azur, France",Western Europe,France,Provence-Alpes-Cote d'Azur,nice metropolitan area,1.1718353,93513773.0,Apajh Alpes Maritimes (93513773),93513773.0,Apajh Alpes Maritimes (93513773),43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",,,,,,Apajh Alpes Maritimes (93513773),"Nice, Provencealpescôted’azur",,France,,apajh alpes maritimes,apajh alpes maritimes,http://linkedin.com/company/apajh-alpes-maritimes,,France,Cedex 1,France,,Synt:em,Synt em SA,Synt:em S.A.,,individual_position_0126_part_01_with_company.parquet
464,individual_position_0126_part_01_with_company.parquet::14417,99464-23,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,Vietcombank Bonday Ben Thanh,linkedin.com/company/vietcombank-bonday-ben-thanh,vietcombank bonday ben thanh,"Ho Chi Minh City, Vietnam",South-Eastern Asia,Vietnam,Ho Chi Minh,ho chi minh city metropolitan area,1.6008382,7017854.0,Vietcombank Bonday Ben Thanh,7017854.0,Vietcombank Bonday Ben Thanh,11-2011.00,Advertising and Promotions Managers,,,,,,Vietcombank Bonday Ben Thanh,,,Viet Nam,,vietcombank bonday ben thanh,vietcombank bonday ben thanh,http://linkedin.com/company/vietcombank-bonday-ben-thanh,,Vietnam,Phu Nhuan,Viet Nam,,Santedo,,Santedo Corp.,,individual_position_0126_part_01_with_company.parquet
465,individual_position_0126_part_01_with_company.parquet::14453,11380-42,,linkedin,100.0,individual_position_0126_part_01_with_company.parquet,1,Motilal Oswal Securities Ltd,linkedin.com/company/motilal-oswal-financial-services-ltd,motilal oswal securities ltd,"Bengaluru, Karnataka, India",Southern Asia,India,Karnataka,bengaluru metropolitan area,1.0535034,347802.0,Motilal Oswal Financial Services Ltd.,347802.0,Motilal Oswal Financial Services Ltd.,13-2051.00,Financial and Investment Analysts,532892,BSE Ltd.,Y6136Z109,523940,Portfolio Management and Investment Advice,Motilal Oswal Financial Services Ltd.,"Mumbai, Maharashtra",286323,India,,motilal oswal securities ltd,motilal oswal securities,http://linkedin.com/company/motilal-oswal-financial-services-ltd,motilaloswal.com,India,,India,,Motilal Oswal Financial Services,MOFSL,Motilal Oswal Financial Services Ltd.,,individual_position_0126_part_01_with_company.parquet
466,individual_position_0126_part_01_with_company.parquet::1447,434229-31,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,prestamos,,prestamos,Argentina,Southern America,Argentina,empty,argentina nonmetropolitan area,2.1318371,5644534.0,Prestamos,5644534.0,Prestamos,,,,,,,,Prestamos,,,Argentina,,prestamos,prestamos,http://linkedin.com/company/prestamos,,Argentina,,Argentina,,Fecundis,,,,individual_position_0126_part_01_with_company.parquet
467,individual_position_0126_part_01_with_company.parquet::14488,10672-48,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,Departament d'Ensenyament - Generalitat de Catalunya,linkedin.com/company/departament-d%27educaci---generalitat-de-catalunya,departament d ensenyament generalitat de catalunya,"Madrid, Community of Madrid, Spain",Southern Europe,Spain,Madrid,madrid metropolitan area,1.3540478,3093242.0,Departament D Ensenyament Generalitat De Catalunya,3093242.0,Departament D Ensenyament Generalitat De Catalunya,19-2011.00,Astronomers,,,,,,Departament D Ensenyament Generalitat De Catalunya,,,Spain,,departament d ensenyament generalitat de catalunya,departament d ensenyament generalitat de catalunya,http://linkedin.com/company/departament-d'educaci---generalitat-de-catalunya,,Spain,,Spain,,Enigma Software Productions,Enigma Software,"Enigma Software Productions, S.L.",,individual_position_0126_part_01_with_company.parquet
468,individual_position_0126_part_01_with_company.parquet::14489,59984-83,,linkedin,100.0,individual_position_0126_part_01_with_company.parquet,1,Echobot Media Technologies GmbH,linkedin.com/company/echobot,echobot media technologies gmbh,"Karlsruhe und Umgebung, Deutschland",Western Europe,Germany,Baden-Wurttemberg,rhein neckar kreis metropolitan area,1.2470307,1166369.0,Echobot Media Technologies GmbH,1166369.0,Echobot Media Technologies GmbH,11-2022.00,Sales Managers,,,,513210,Software Publishers,Echobot Media Technologies GmbH,"Karlsruhe, Deutschland",,Germany,,echobot media technologies gmbh,echobot media technologies,http://linkedin.com/company/echobot,echobot.de,Germany,,Germany,,Echobot Media Technologies,Echobot,Echobot Media Technologies GmbH,,individual_position_0126_part_01_with_company.parquet
